,date,device,text,location
35,2016-09-22 23:48:48,Twitter for iPhone,@Yahoo confirms #databreach of 500 million user accounts - #infosec #cybersecurity #cio #ciso https://t.co/5e93o5GI7l via @HealthITNews,
36,2016-09-22 23:48:46,Twitter for iPhone,BREAKING: Yahoo: 'At Least 500 Million User Accounts' Stolen By 'State-Sponsored Actor' https://t.co/ODvCYV8Z52 $YHOO $BABA $VZ https://t.co/rLECajOuGf,
37,2016-09-22 23:48:44,Twitter Web Client,Here is a sneak peak of what's coming up tonight at 5 on @arizonapbs: @mike_pence is in town and the latest on the @Yahoo data breach. https://t.co/Qptf9454UC,
38,2016-09-22 23:48:42,Twitter for Android,Massive data breach confirms your aunt is Yahoo’s only user. #Yahoo https://t.co/oT0gaF865y,
39,2016-09-22 23:48:39,Twitter for Android,Yahoo says 500 million accounts stolen  - CNNMoney https://t.co/zbtd155ixQ,
40,2016-09-22 23:48:27,twitterfeed,Random Dumber: Will Verizon Bale On Yahoo After Data Breach? https://t.co/CEk9vWWk1K,
41,2016-09-22 23:48:17,Twitter for Android,Yahoo confirms data breach in which 500 million user accounts were stolen https://t.co/DJaBvX9H1P https://t.co/iUjq7z9Qxa,
42,2016-09-22 23:48:14,Twitter Web Client,BREAKING: Yahoo confirms data breach that exposed more than 500 million account details. Were you affected https://t.co/3JbM5eMHB1,
43,2016-09-22 23:48:14,Twitter for iPhone,Yahoo reveals a massive data breach including security questions and answers. https://t.co/VkcGL7fWHI,
44,2016-09-22 23:48:13,Twitter for Android,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
45,2016-09-22 23:48:08,TweetCaster for Android,BREAKING: Yahoo says data associated with at least 500 million user accounts have been stolen https://t.co/BS5WbJl2fc,
46,2016-09-22 23:48:08,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
47,2016-09-22 23:48:06,dlvr.it,What this Yahoo data breach means for you https://t.co/zhOdx4Vzjo #Tech #Gadgets,
48,2016-09-22 23:47:48,Twitter Web Client,BREAKING: Yahoo confirms data breach for 500 million accounts people set up to receive their spam.,
49,2016-09-22 23:47:48,Twitter Web Client,"Yahoo says at least 500 million user accounts were stolen in 2014, by what it thinks is a state-sponsored actor. https://t.co/G0krDoHEpd https://t.co/ian6rSgdPz",
50,2016-09-22 23:47:45,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
51,2016-09-22 23:47:45,Twitter for Android,BREAKING: Yahoo confirms huge data breach affecting 500 million accounts.,
52,2016-09-22 23:47:37,Twitter for iPhone,"Yahoo: We received a Data Breach, hacking over 500M Accounts...

Me: Oh, i'll change my password now

Yahoo: No rush, it was in 2014 https://t.co/TEd5jaQirp",
53,2016-09-22 23:47:36,Twitter for Android,#Yahoo confirms massive leak of 500 million user accounts https://t.co/zFHF9wFPPO #cybersecurity #cyberattack #hackers,
54,2016-09-22 23:47:35,Facebook,Yahoo Confirms Data Breach Affecting At Least 500 Million Users https://t.co/0XUoT3yBAX,
55,2016-09-22 23:47:33,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal information of at le... https://t.co/tPh6pSy5NE,
56,2016-09-22 23:47:32,twitterfeed,#branding Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal... https://t.co/iEOxL7wxDD #marketing,
57,2016-09-22 23:47:32,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal information of at le... https://t.co/UOLXxLoDLN,
58,2016-09-22 23:47:31,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users https://t.co/5fG4p9tIvq #eCommerce,
59,2016-09-22 23:47:31,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal information of at le... https://t.co/FPLeUKbyLH,
60,2016-09-22 23:47:31,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users https://t.co/2s84KaDSH6,
61,2016-09-22 23:47:31,twitterfeed,News: Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal information of... https://t.co/8M97VMvEBQ,
62,2016-09-22 23:47:31,twitterfeed,Yahoo Confirms Data Breach Affecting At Least 500 Million Users: Yahoo said the personal information of at le... https://t.co/w6eQdnS4SF,
63,2016-09-22 23:47:28,Twitter Web Client,Yahoo says spies stole data compromising 500 million accounts https://t.co/D1EgnBForn https://t.co/L8a5rhdejB,
64,2016-09-22 23:47:22,Mobile Web,Yahoo Confirms Massive Data Breach https://t.co/c5G5TRW65g,
